trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 3.333333333333333}",25,0,-199.09028453431839,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.3846153846153846}",30,12,-98.79488179493985,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.7, 'e': 0.14492753623188406}",30,0,-129.27961303176087,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.07575757575757576}",20,0,-70.63948282325245,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.046511627906976744}",20,0,8.810076926872823,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.031446540880503145}",20,3,-48.196609514857116,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.022675736961451247}",25,5,-11.912819788215593,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.017123287671232876}",30,0,-15.066011846976675,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.013386880856760375}",20,0,22.283113989934684,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.010752688172043012}",30,0,15.065373281096532,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.008826125330979701}",20,0,-24.45772523078332,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.007374631268436578}",30,0,-2.648909464499165,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.006253908692933083}",20,0,16.643813385557753,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.0053705692803437165}",20,0,25.38502117119831,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.004662004662004662}",20,0,26.864864665647165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.004084967320261438}",20,2,32.85488756954578,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0036088054853843374}",30,0,42.07354660920972,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.0032113037893384717}",20,0,23.617076742960766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.0028760425654299686}",20,3,20.754865317864727,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0025906735751295338}",30,13,32.37816295279338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.002345765892563922}",30,0,18.119755503724893,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.0021340162185232605}",25,0,34.618786203876574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.0019496977968414897}",20,4,21.912932246656016,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.0017882689556509297}",25,0,38.369528900937055,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.0016460905349794238}",25,12,-19.31801568381272,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.7, 'e': 0.0015202189115232595}",20,0,28.503429312551972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.001408252358822701}",25,16,13.949580844950308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.0013082155939298796}",20,0,16.196717846886873,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.0012184720360667721}",20,0,26.668079479605666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.0011376564277588168}",25,3,31.834034901422,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.0010646225912913873}",25,0,24.946291726529587,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.000998402555910543}",25,14,20.061266872351137,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.0009381743127873159}",20,0,-11.021421357543128,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.7, 'e': 0.0008832361773538244}",25,0,14.89735356462775,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.0008329862557267805}",30,0,-6.094625056360279,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.0007869058860560278}",20,0,30.863477235969814,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.0007445461990916537}",20,0,27.06394287219745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.7, 'e': 0.0007055171440666008}",25,5,30.202908634422364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.000669478476266988}",20,2,29.00569879434842,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.0006361323155216285}",20,0,-18.986764722132317,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
41,False,"{'a': 0.7, 'e': 0.0006052169702838468}",30,0,35.16149291334345,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.0005765017871555402}",20,0,28.115917213461532,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.7, 'e': 0.0005497828357798669}",30,0,4.061392208759543,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.0005248792777661138}",20,2,30.508584434274027,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.0005016302984700275}",20,0,26.514917594099387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.00047989250407908624}",25,0,30.74427390934417,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.7, 'e': 0.0004595377050687009}",20,0,27.55831974291373,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.00044045102184637065}",20,13,12.87388587529446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.0004225292601512655}",20,4,29.32648981292151,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.00040567951318458417}",20,5,18.421016672991424,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.000389817955015008}",30,0,41.91896225781557,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.7, 'e': 0.0003748687959214275}",35,0,27.09766686310171,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.0003607633753021393}",20,6,21.346472194195204,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.00034743937182961577}",25,0,-12.325629988936203,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.7, 'e': 0.0003348401138456387}",30,9,36.11061602895542,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.000322913975716869}",25,8,-12.834056638978247,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.7, 'e': 0.00031161384811941045}",25,0,38.47677172937055,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.00030089667208280677}",20,0,30.446214924384225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.00029072302817106146}",25,20,8.214539255824764,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.0002810567734682406}",20,0,30.62159860409249,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.0002718647201152706}",20,8,18.31386162750948,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.0002631163500499921}",20,0,25.1719553378443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.7, 'e': 0.00025478356136462077}",20,11,15.296345499331416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.0002468404423380727}",30,0,38.04128890187353,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.00023926306974518484}",20,0,31.880024141735056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.7, 'e': 0.0002320293285071233}",25,0,34.12016742271031,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.0002251187501406992}",20,0,27.110151518714048,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.0002185123678000175}",25,0,30.60089400282672,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.7, 'e': 0.00021219258599104547}",20,13,14.58212044742881,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.00020614306328592042}",25,0,37.847661505115916,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.7, 'e': 0.00020034860657544126}",20,0,18.241686531698797,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.7, 'e': 0.00019479507558048932}",20,0,27.175883863450487,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.0001894692965005021}",20,0,23.14633578276965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.7, 'e': 0.00018435898381328122}",30,0,29.70219350057038,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.7, 'e': 0.0001794526693584567}",20,0,17.043437269522595,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.0001747396379394702}",25,0,36.155508183541066,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.00017020986876819117}",25,16,-4.837839977726634,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.00016585398215411152}",25,11,-14.743287564683587,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.7, 'e': 0.00016166319090806216}",20,1,27.14755284005714,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.00015762925598991173}",25,0,9.325006132541953,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
81,False,"{'a': 0.7, 'e': 0.0001537444459818889}",20,13,13.266349795129134,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
