trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,2,-143.02998727419356,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-132.89291994426046,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-143.00959178717068,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-105.05710718250053,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-132.97046791165542,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-166.9863449472807,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-133.91187893510198,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-74.03983592065538,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-151.58651325701777,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-58.33242737961237,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-78.14784656322406,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-97.28735661495679,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-184.84110223005752,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-124.39589209632157,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-53.644329125189614,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,14,-15.803542797986236,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-198.025298099353,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-85.51441324450015,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-108.67827324569674,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,-115.58698731221733,"{0: 8, 1: 1, 2: 2, 3: 3, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-161.01527445058647,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,6,-47.0615584923168,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.68316420722017,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.50800301682348,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.49543447107928,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-188.3492035350945,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-40.470460088741284,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-47.69660232805159,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-139.97925160515234,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-176.4523432783188,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
